Postagem,Funcionalidade,Tipo,Sentimento,Intenção,Facetas de Usabilidade,Facetas de UX
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom esse aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Vai me ajuda muito,,Elogio,Positiva,Reflexiva,Satisfação,Motivação; Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Quando tento acessar o progresso no app, ele trava e fecha sozinho",Progresso,Crítica,Neutra,Comportamental,Eficácia,
Por favor atualize o bug,,Sugestão,Negativa,Reflexiva,Utilidade,
Otimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Otimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Trava para ver o gráfico do peso,Progresso,Crítica,Neutra,Comportamental,Eficácia,
Nas de resto sensacional,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom!!!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Completo,,Elogio,Positiva,Reflexiva,Eficácia; Satisfação,Satisfação
"N sei se os cálculos de calorias está correta ,mas o app é muito bom p ter uma ideia",Contagem de calorias,Dúvida/Elogio,Neutra,Reflexiva,Segurança; Satisfação,Satisfação
"Deveria separar em seis refeições dia, ou seja, mais dois lanches ,um entre o café e o almoço e outro entre o almoço do jantar",Separar refeições,Sugestão,Neutra,Reflexiva,Utilidade,
Impossível cadastrar,Cadastrar,Crítica,Negativa,Reflexiva,Eficácia,
Ótimo app para rastrear calorias,Contagem de calorias,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Melhor base de dados dos alimentos,Base de dados,Elogio,Positiva,Reflexiva,Utilidade; Satisfação,Satisfação
Super completo,,Elogio,Positiva,Reflexiva,Utilidade,
"Acho o app genial, tem poucas falhas",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Perfeito para fazer dietas,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Top,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Ótimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom!,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Só dá erro no cadastro !!!,Cadastrar,Crítica,Neutra,Comportamental,Eficácia,
Ótimo app,,Elogio,Positiva,Visceral,Satisfação,Satisfação
App ótimo!! Super recomendo! Celular: G4 plus,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito Bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
"Tinha que ter como colocar a quantidade em grama ou ml, como que eu vou saber quantos ml tem 1 copo? Pode ser um copo de 500 litros ou de 1 ml",Inserir medidas de volume,Crítica/Sugestão,Negativa,Reflexiva,Utilidade,
My fitness pal vocês podiam mostrar os exércitos para emagrecer,Exercícios para emagrecer,Sugestão,Neutra,Reflexiva,Utilidade,
Ajuda de verdade,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Gosto bastante,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Treina sua disciplina e foco,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Excelente app para auxiliar na elaboração de cardápio e controlar os macros de cada refeição!,Contagem de macronutrientes,Elogio,Positiva,Reflexiva,Satisfação; Utilidade,Satisfação
Muito pratico,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Melhor que tem,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Excelente plataforma para acompanhar a composição do que se come ao longo do dia,,Elogio,Positiva,Reflexiva,Utilidade,
Otimo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
App muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Só podia ter mais exercícios para contagem da queima de calorias não apenas os exercícios aerobicos,Contagem de calorias gastas,Sugestão,Neutra,Reflexiva,Utilidade,
"Bem preciso, ajuda na dieta",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom ele,,Elogio,Positiva,Visceral,Satisfação,Satisfação
App muito bom e bastante seguro,,Elogio,Positiva,Reflexiva,Satisfação; Segurança,Satisfação
Muito bom realmente perdi peso,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Muito bom pra quem faz qualquer tipo de dieta,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Muito bom , ajuda muito !",,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Continua muito bom,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
"Muito bom, mas deveria ter uma for de abater todos exercícios sem precisar calcular a",,Elogio; Sugestão,Neutra,Reflexiva,Utilidade; Satisfação,Satisfação
Está atendendo minhas expectativas,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Bom app,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Melhor aplicativo já tenho ele a 2 anos não tenho o que reclamar de nada perfeito pra mim recomendo muito excelente e perco peso rápido com ele Parabéns aos criadores,,Elogio,Positiva,Visceral,,Afeto
O aplicativo de início é excelente porém se você não faz a assinatura ele começa a travar acho um desaforo,,Crítica,Negativa,Reflexiva,,Frustração
Muito bom! Recomendo!,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Ótimo aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Excelente aplicativo,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Estou gostando mas seria melhor que ele contabilizasse exercício de fortalecimento,Exercícios,Elogio/Sugestão,Neutra,Reflexiva,Utilidade,
"Meu aplicativo não está abrindo a opção ""passos""",Passos,Crítica,Neutra,Comportamental,Eficácia,
Muito bom,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bacana,,Elogio,Positiva,Visceral,Satisfação,Satisfação
App muito bom! Ajuda dando aquela motivação pra manter a dieta e exercício,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação; Motivação
Show,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Bem maneiro,,Elogio,Positiva,Visceral,Satisfação,Satisfação
Não está funcionando a procura de alimentos,Buscar alimentos,Crítica,Neutra,Reflexiva,Eficácia,
Então não consigo registrar nada,Inserir no diário,Crítica,Neutra,Reflexiva,Eficácia; Aprendizado,
Excelente,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Com leitor de código de barra que facilita demais os cadastros e promove um,Ler códio de barras,Elogio,Positiva,Reflexiva,Satisfação; Eficiência,Satisfação
controle muito bom dos alimentos ingeridos e exercícios,Controle de alimentos e exercicios,Elogio,Positiva,Reflexiva,Satisfação; Eficácia,Satisfação
Me ajudou demais,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação; Motivação
"Muito bom, fácil acompanhar a alimentação com esse aplicativo",,Elogio,Positiva,Reflexiva,Satisfação; Aprendizado,Satisfação
Toda hora fica dando erro de rede quando vou pesquisar algum alimento,Buscar alimento,Crítica,Negativa,Comportamental,Eficácia,
Top perdi 10 kilo,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Só dá erro quando pesquisa o alimento,Buscar alimento,Crítica,Neutra,Comportamental,Eficácia,
Pessimo,,Crítica,Negativa,Visceral,,Frustração
"Estava funcionando até que não é mais possível pesquisar os itens, exibe msg de erro",Buscar alimento,Crítica,Neutra,Comportamental,Eficácia,
Muito bom mesmo!!!,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação
Me ajuda mto a bater os macros!,,Elogio,Positiva,Reflexiva,Satisfação,Satisfação; Motivação
Gostando muito,,Elogio,Positiva,Visceral,Satisfação,Satisfação
